"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"504",22510506,"pr�vate room",165003654,"Rocio","Bronx","Norwood",40.87396,-73.87785,"Private room",26,30,24,"2019-01-15",1.39,1,303
"536",23613688,"clean spacious duplex by yankee stadium",175583687,"Quisqueya","Bronx","Highbridge",40.83604,-73.93099,"Entire home/apt",240,1,22,"2019-06-24",1.4,3,1
"565",24676554,"family-style apartment",162881419,"Manny","Bronx","Norwood",40.87816,-73.87213,"Entire home/apt",125,3,20,"2018-12-21",1.4,1,281
"18",525293,"yankee nest",2556498,"Chris","Bronx","Concourse",40.82822,-73.92439,"Entire home/apt",250,3,119,"2019-07-01",1.41,1,339
"56",3312276,"cozy studio kitchen  bathroom",14214034,"Desmar","Bronx","Mott Haven",40.81444,-73.92516,"Entire home/apt",75,2,85,"2019-06-09",1.41,2,253
"375",19359445,"honeycomb hideout",135680128,"Shoshannah","Bronx","Wakefield",40.90391,-73.85312,"Entire home/apt",120,2,34,"2019-06-22",1.42,1,77
"686",28433202,"great value !  private room queen size couch bed",147762665,"Jose","Bronx","Wakefield",40.88688,-73.85848,"Private room",37,1,14,"2019-07-05",1.42,3,332
"945",34422726,"home away from home",234422924,"Arlene","Bronx","City Island",40.8439,-73.78792,"Private room",29,1,2,"2019-06-16",1.43,1,18
"524",23139647,"spacious 2 level home for groups sleeps upto 12",11305944,"Yahaira","Bronx","Allerton",40.86578,-73.86534,"Entire home/apt",250,2,22,"2019-06-19",1.44,5,361
"2",54626,"cozy bedroom by yankee stadium",190409,"Waundell","Bronx","Highbridge",40.83075,-73.93058,"Private room",45,1,138,"2019-06-30",1.45,3,323
"150",9334185,"trendy but cozy private bdrm & bath",48249473,"Marisol","Bronx","Kingsbridge",40.87842,-73.9029,"Private room",75,1,59,"2019-06-23",1.45,2,354
"180",11656750,"sunny  enormous apt  historic bldg",17548437,"Michael","Bronx","Melrose",40.8183,-73.91938,"Entire home/apt",150,5,58,"2019-07-02",1.45,1,37
"743",29858941,"luxury affordable comfort in the bronx-2 bedroom ! ",216456504,"Annick","Bronx","Wakefield",40.894,-73.84362,"Entire home/apt",130,1,11,"2019-06-23",1.45,3,363
"787",31125857,"cozy modern getaway 30 mins from manhattan (1bdrm)",232283561,"Beverline","Bronx","East Morrisania",40.8296,-73.88971,"Private room",125,1,9,"2019-03-25",1.46,3,80
"406",20176000,"heavenly pad !  !  ! ",142447586,"Winnie & Andy","Bronx","Williamsbridge",40.88032,-73.85877,"Private room",45,3,33,"2019-06-19",1.47,4,325
"547",23906042,"bronx penthouse",179677211,"Bettina","Bronx","Morris Park",40.84857,-73.85976,"Entire home/apt",190,1,19,"2019-06-09",1.47,3,8
