"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"35",1934765,"one bedroom apt  suitable for two",10012271,"Karmesha","Bronx","Parkchester",40.83645,-73.86634,"Entire home/apt",195,5,1,"2015-01-01",0.02,1,0
"39",2062630,"large 1 bedroom apartment (shared)",6313448,"Lexy","Bronx","Bronxdale",40.85667,-73.86543,"Entire home/apt",80,1,1,"2014-08-19",0.02,1,0
"88",4667707,"beautifully furnished 1 br  with office",24149026,"Nychele","Bronx","Concourse Village",40.82393,-73.92414,"Entire home/apt",145,5,1,"2016-01-02",0.02,1,0
"123",7561686,"cozy large studio - yankee stadium",39639929,"John","Bronx","Concourse",40.82381,-73.92725,"Entire home/apt",110,1,1,"2015-08-08",0.02,1,0
"47",2628191,"charming cozy cool 2br apartment.",12360441,"Angel","Bronx","Co-op City",40.86646,-73.82154,"Private room",80,3,2,"2015-10-13",0.03,1,365
"166",10719039,"riverdale grandview",55395596,"Vian","Bronx","Fieldston",40.88777,-73.9059,"Private room",70,1,1,"2016-08-07",0.03,1,0
"267",15916709,"studio apartment near monte fiore hospital",18934273,"Max","Bronx","Norwood",40.87529,-73.8762,"Private room",40,1,1,"2016-12-24",0.03,1,0
"287",16425205,"room for rent (females only)",73550323,"Chioma","Bronx","Parkchester",40.84012,-73.86521,"Private room",40,1,1,"2017-01-01",0.03,1,0
"42",2296024,"three bedroom upscale condo",2321783,"Donna","Bronx","Riverdale",40.88579,-73.91599,"Entire home/apt",250,7,2,"2019-01-02",0.04,1,338
"74",4039789,"harmonious sanctuary near yankee stadium.",20945243,"Michael","Bronx","Concourse Village",40.83331,-73.91742,"Entire home/apt",90,30,1,"2017-05-12",0.04,1,358
"95",4967098,"bronx  1bdrm in 3bdrm apt.",25605654,"Cindy","Bronx","Morris Park",40.85465,-73.85669,"Private room",50,1,2,"2015-02-23",0.04,1,0
"357",18852048,"clean  spacious and comfortable room at bronx",108922928,"Zeeshan","Bronx","Allerton",40.85961,-73.86361,"Private room",49,3,1,"2017-06-01",0.04,1,0
"381",19593009,"simple cost-friendly private room  females only",125653581,"Amanda","Bronx","Norwood",40.8774,-73.87537,"Private room",29,2,1,"2017-07-16",0.04,1,0
"411",20330081,"new york's hidden secret for luxury living",131826530,"Kathy","Bronx","Riverdale",40.88515,-73.91411,"Shared room",800,2,1,"2017-09-03",0.04,3,269
"415",20435714,"pretty studio with lots of light",48677247,"Elle","Bronx","Norwood",40.88304,-73.88278,"Entire home/apt",58,5,1,"2017-09-05",0.04,1,0
"152",9394188,"room for 1 female or couple",38805180,"Maria","Bronx","Mott Haven",40.8113,-73.92465,"Private room",65,3,2,"2019-01-02",0.05,1,356
"178",11634797,"fully furniture huge room in great apt",4187747,"Carmel","Bronx","Riverdale",40.9008,-73.90639,"Private room",49,6,2,"2017-01-01",0.05,1,340
"185",11866301,"beautifully spacious 1 bedroom",63256824,"Xavier","Bronx","Norwood",40.87925,-73.88254,"Entire home/apt",80,1,2,"2016-05-26",0.05,1,0
"204",12955940,"large  affordable  clean convenient",71211231,"Ehsan","Bronx","Fordham",40.85396,-73.89872,"Private room",34,1,2,"2016-06-14",0.05,1,0
"364",18988028,"peaceful home to come on budget.",131211034,"Monica A","Bronx","University Heights",40.85484,-73.90646,"Private room",60,1,1,"2017-11-25",0.05,1,0
"465",21406998,"large room",154696585,"Jorge","Bronx","Kingsbridge",40.87847,-73.90268,"Private room",80,3,1,"2017-12-19",0.05,1,0
"490",22088409,"bronx native son apartment",37260534,"Cory","Bronx","Norwood",40.87491,-73.87575,"Private room",87,2,1,"2017-12-20",0.05,1,0
"162",10332161,"a large sunny bedroom",53169195,"Ehssan","Bronx","Fordham",40.85598,-73.90052,"Private room",35,3,2,"2016-08-20",0.06,1,0
"228",13698623,"melrose place...",33862021,"Victor","Bronx","Melrose",40.82296,-73.91429,"Private room",42,2,2,"2016-10-24",0.06,1,0
