"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"997",1026565,"peaceful park slope near subways",825252,"Meredith","Brooklyn","Park Slope",40.67651,-73.98007,"Entire home/apt",125,2,45,"2017-06-19",0.66,1,0
"1030",1091582,"two comfy rooms in park slope",2768182,"Devi","Brooklyn","South Slope",40.66326,-73.98805,"Private room",89,1,49,"2019-06-24",0.66,4,24
"1290",1559435,"gorgeous & spacious full 1 br apt",5191738,"Alisha","Brooklyn","Bedford-Stuyvesant",40.68864,-73.9213,"Entire home/apt",75,2,36,"2019-06-25",0.66,1,0
"1850",2702489,"charming entire ❤️ apartment",13830544,"Renee","Brooklyn","Bushwick",40.69574,-73.93111,"Entire home/apt",85,5,32,"2019-06-16",0.66,3,38
"2541",4129541,"wonderful getaway in bedstuy",18397763,"Seun And Marie","Brooklyn","Bedford-Stuyvesant",40.68627,-73.93131,"Private room",77,2,38,"2019-03-16",0.66,7,66
"2825",4624874,"flatbush gardens ii",23162890,"Terrance","Brooklyn","Flatbush",40.65039,-73.96393,"Private room",72,3,37,"2018-10-15",0.66,2,334
"3081",4978214,"the golden room",3737351,"Lawrence","Brooklyn","Canarsie",40.64027,-73.91751,"Private room",45,4,33,"2019-06-11",0.66,1,323
"3765",6480490,"wburg 1 bedroom - spacious & sunny",1871609,"Franky","Brooklyn","Williamsburg",40.72008,-73.94464,"Entire home/apt",105,5,33,"2019-04-28",0.66,1,8
"4001",6866040,"pretty artists apt private br in williamsburg",844227,"Barbara","Brooklyn","Williamsburg",40.71117,-73.95292,"Private room",74,3,9,"2019-03-19",0.66,1,18
"4412",7561584,"sunny cozy room for 1 :)",4291007,"Graham And Ben","Brooklyn","Clinton Hill",40.69411,-73.96151,"Private room",90,30,31,"2018-10-10",0.66,11,314
"7010",13056210,"very large room for 1 adult",72291606,"Jon","Brooklyn","Bushwick",40.69029,-73.91899,"Shared room",75,1,25,"2017-03-07",0.66,1,155
"7782",14152806,"large & unique  �ber-modern studio",31301220,"Helen","Brooklyn","Williamsburg",40.71192,-73.9628,"Entire home/apt",249,9,19,"2017-10-04",0.66,1,0
"7924",14480047,"private bedroom in prime bay ridge close to subway",22565253,"Yinny","Brooklyn","Fort Hamilton",40.61819,-74.03047,"Private room",30,3,23,"2019-05-27",0.66,4,211
"8094",14913358,"brooklyn gem: stylish & family friendly",15670189,"Evan","Brooklyn","Bedford-Stuyvesant",40.67854,-73.92321,"Entire home/apt",98,2,6,"2019-06-30",0.66,1,9
"8255",15299630,"bright & spacious apartment in east williamsburg",4360212,"Anu","Brooklyn","Williamsburg",40.70912,-73.94513,"Entire home/apt",135,2,22,"2019-07-07",0.66,1,5
"8366",15545469,"modern bedroom with best view in brooklyn",14482375,"Lara & David","Brooklyn","Greenpoint",40.72214,-73.94345,"Private room",199,3,20,"2019-06-27",0.66,3,0
"8530",15866130,"private room - best price",32209352,"Diana","Brooklyn","Bushwick",40.696,-73.91303,"Private room",57,4,17,"2019-05-19",0.66,2,307
"9060",16659337,"spacious apartment in delightful cobble hill",9870527,"Josh","Brooklyn","Boerum Hill",40.6862,-73.98906,"Entire home/apt",220,2,17,"2019-06-19",0.66,1,167
"9454",17680566,"*private apartment l train lorimer stop",118378908,"Jose","Brooklyn","Williamsburg",40.71415,-73.94867,"Entire home/apt",108,28,17,"2019-04-26",0.66,6,332
"9641",18109852,"sunny high-ceiling  large-windows  bushwick apt",5168429,"Chris","Brooklyn","Bushwick",40.69511,-73.90715,"Private room",65,4,17,"2019-01-12",0.66,1,11
"9942",18689454,"private sun-filled 1-bedroom apt with own backyard",327033,"Marc","Brooklyn","Bushwick",40.69207,-73.92331,"Entire home/apt",145,3,17,"2019-05-25",0.66,2,0
"10594",19763459,"great location-close to metro in cool neighborhood",81160897,"Roberto","Brooklyn","Bushwick",40.70152,-73.91148,"Private room",50,1,16,"2019-04-21",0.66,1,343
"10611",19788577,"bushwick landing pad",36952002,"Debra","Brooklyn","Bushwick",40.68787,-73.91305,"Private room",35,2,14,"2019-06-27",0.66,1,16
"11408",21042534,"light  spacious apartment in trendy neighborhood",2575895,"Kathy","Brooklyn","Crown Heights",40.67467,-73.9469,"Entire home/apt",100,5,2,"2019-04-21",0.66,1,0
"11764",21568069,"spacious & bright brooklyn apartment",46723798,"Brooke","Brooklyn","Greenpoint",40.7255,-73.94428,"Entire home/apt",100,2,13,"2019-06-10",0.66,1,1
"11769",21577526,"beautiful and spacious room next to subway station",84491220,"Maka","Brooklyn","Flatbush",40.65021,-73.96293,"Private room",65,2,13,"2019-04-29",0.66,1,310
"11918",21723666,"private cozy room in e. flatbush",158174749,"Lorna","Brooklyn","East Flatbush",40.65553,-73.93642,"Private room",70,2,13,"2019-06-30",0.66,1,264
"13087",23311374,"the bungalow at bedford avenue (williamsburg)",1119739,"Luke","Brooklyn","Williamsburg",40.71794,-73.9595,"Entire home/apt",125,6,11,"2019-05-27",0.66,1,0
"13420",24038323,"dreamy williamsburg bedroom with private terrace",32720219,"Gizem","Brooklyn","Williamsburg",40.70894,-73.94333,"Private room",120,4,10,"2019-06-17",0.66,2,8
"13614",24535740,"tv-photo-film-cinema-art gallery-music studio-loft",183779546,"David & Javier","Brooklyn","Williamsburg",40.71824,-73.95175,"Entire home/apt",1000,1,9,"2019-04-27",0.66,1,88
"13739",24866378,"home sweet home in flatbush",69469129,"Cesar","Brooklyn","Flatbush",40.65341,-73.96238,"Entire home/apt",165,5,8,"2019-07-06",0.66,1,258
"13751",24912129,"fabulous mid century modern apt in williamsburg",4407432,"Antoinette","Brooklyn","Williamsburg",40.72163,-73.95465,"Entire home/apt",225,2,9,"2019-06-10",0.66,1,120
"14100",25813627,"serene loft in williamsburg - master bd",2423377,"Bryan","Brooklyn","Williamsburg",40.71531,-73.96548,"Private room",425,5,6,"2019-05-15",0.66,1,156
"14368",26412930,"zen brooklyn",209300,"Gina","Brooklyn","Fort Greene",40.68731,-73.9751,"Private room",85,1,8,"2018-09-01",0.66,2,0
