"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"142",74860,"sunlit and cozy williamsburg greenpoint  brooklyn",394752,"Allison","Brooklyn","Greenpoint",40.72488,-73.95018,"Private room",55,2,1,"2011-03-28",0.01,1,0
"289",229874,"oversized studio in park slope",507304,"Derrick","Brooklyn","Sunset Park",40.66293,-73.99833,"Entire home/apt",200,5,1,"2012-01-02",0.01,1,0
"346",268481,"resort-like living in williamsburg",1380703,"Vishal","Brooklyn","Williamsburg",40.71647,-73.93974,"Entire home/apt",290,30,1,"2013-09-24",0.01,1,0
"420",311003,"2 bd   2ba with garden  sleeps 6",72747,"Karen","Brooklyn","Crown Heights",40.67679,-73.95639,"Entire home/apt",225,4,1,"2013-04-21",0.01,1,342
"567",513343,"cozy  hella sunny  and convenient ! ",2528671,"Dennis","Brooklyn","Prospect Heights",40.67717,-73.96915,"Entire home/apt",125,30,1,"2012-07-11",0.01,1,341
"572",516643,"williamsburg apt  close to metro l",2543761,"Stephane","Brooklyn","Williamsburg",40.71915,-73.95581,"Entire home/apt",150,3,1,"2013-01-04",0.01,1,0
"605",560406,"charming old school 1br in c. gardens brooklyn",2755668,"Annie","Brooklyn","Carroll Gardens",40.68343,-73.99189,"Entire home/apt",90,4,1,"2012-07-11",0.01,1,0
"630",588677,"great find- 2 bedroom apartment in williamsburg ! ",2407024,"Michael","Brooklyn","Williamsburg",40.70989,-73.95347,"Entire home/apt",250,30,1,"2012-08-10",0.01,2,250
"677",655472,"lovely 2-room studio in crown hghts",326329,"Nick","Brooklyn","Crown Heights",40.67574,-73.95434,"Entire home/apt",60,3,1,"2012-08-25",0.01,1,0
"724",714075,"room in clinton hill brooklyn loft",3597769,"Enid","Brooklyn","Bedford-Stuyvesant",40.68712,-73.95876,"Private room",75,5,1,"2013-08-08",0.01,2,0
"817",807882,"apt in heart of williamsburg",4250697,"Brandon","Brooklyn","Williamsburg",40.71986,-73.95925,"Entire home/apt",149,4,1,"2013-06-30",0.01,1,0
"823",812057,"debbie's cozy retreat",4065620,"Debbie","Brooklyn","Bedford-Stuyvesant",40.68509,-73.93854,"Entire home/apt",215,3,1,"2013-01-01",0.01,2,300
"851",830840,"private bedroom in a studio",4350748,"Anna","Brooklyn","Midwood",40.62908,-73.95965,"Private room",68,7,1,"2012-12-12",0.01,1,87
"977",992977,"park slope pre-war apartment",4000059,"Shahdiya","Brooklyn","Park Slope",40.67359,-73.97434,"Entire home/apt",100,365,1,"2013-08-01",0.01,1,365
"1073",1150514,"lovely entire apt in prime brooklyn",4376062,"Eliza","Brooklyn","Fort Greene",40.68798,-73.97182,"Entire home/apt",138,7,1,"2013-05-24",0.01,1,0
"1225",1427518,"spacious  amenity-filled 1 bdr williamsburg apt",7654662,"Elizabeth","Brooklyn","Williamsburg",40.71385,-73.93861,"Entire home/apt",160,6,1,"2013-09-07",0.01,1,0
"1536",2037508,"bed stuy apartment one bedroom",10211848,"Ben","Brooklyn","Bedford-Stuyvesant",40.6839,-73.94446,"Entire home/apt",75,4,1,"2014-01-03",0.01,1,0
"1572",2082694,"brand new 3br apartment",10638711,"Corey","Brooklyn","Williamsburg",40.70958,-73.94287,"Entire home/apt",700,3,1,"2014-01-02",0.01,1,0
"1621",2144319,"cheap  furnished private room",10945216,"Rebecca","Brooklyn","Crown Heights",40.67177,-73.95221,"Private room",40,1,1,"2014-01-04",0.01,1,0
"66",31902,"sanctuary in east flatbush",137292,"Sunder","Brooklyn","Flatlands",40.63188,-73.93248,"Private room",77,2,2,"2019-01-01",0.02,1,178
"152",81739,"loft  with  terrace @ box house hotel",417504,"The Box House Hotel","Brooklyn","Greenpoint",40.73842,-73.95312,"Private room",249,3,2,"2011-05-12",0.02,28,60
"242",188146,"""the oasis"" on bedford williamsburg",906200,"Mariana","Brooklyn","Williamsburg",40.7158,-73.95803,"Entire home/apt",350,6,1,"2016-01-01",0.02,1,233
"401",295231,"sunny  clean br available",1387286,"Felicia","Brooklyn","Williamsburg",40.70918,-73.94881,"Private room",60,7,1,"2014-03-24",0.02,2,0
"453",367042,"eastern parkway brooklyn 1br flat",774128,"Andre","Brooklyn","Crown Heights",40.66847,-73.94875,"Entire home/apt",125,5,1,"2014-09-04",0.02,1,0
"462",385657,"beautiful loft 10 min to manhattan ! ",1930204,"Sophia","Brooklyn","Williamsburg",40.704,-73.93285,"Private room",70,5,2,"2015-05-15",0.02,1,0
"465",394026,"artistloft-mccarenpark-williamsburg",1651591,"Todd","Brooklyn","Greenpoint",40.72049,-73.95221,"Private room",90,2,2,"2018-10-08",0.02,2,89
"515",464231,"large room  with  private entrance",1530310,"Jacques","Brooklyn","Bedford-Stuyvesant",40.68905,-73.9541,"Private room",65,7,2,"2012-05-29",0.02,3,0
"592",545261,"clinton hill lux apt grill & lawn",746552,"Tom","Brooklyn","Clinton Hill",40.68752,-73.96688,"Private room",200,3,2,"2015-08-07",0.02,1,365
"627",587519,"huge bdrm in new wilibrg 3 bed loft",2897835,"Tim","Brooklyn","Williamsburg",40.71099,-73.95217,"Private room",48,5,1,"2015-03-31",0.02,1,0
"707",696593,"park slope one bedroom with balcony",3228992,"Karin","Brooklyn","Park Slope",40.67406,-73.97697,"Entire home/apt",150,5,1,"2015-07-16",0.02,1,27
"726",716169,"feel the brooklyn love ! ",2055073,"Melissa","Brooklyn","Fort Greene",40.68811,-73.97236,"Entire home/apt",93,4,1,"2015-05-14",0.02,1,0
"764",757007,"zen holiday getaway",2124690,"Chanelle","Brooklyn","Bedford-Stuyvesant",40.68444,-73.95692,"Entire home/apt",175,7,1,"2015-05-23",0.02,1,0
"790",784170,"huge  sunny room  block 4rm train ! ",430188,"Pam","Brooklyn","Williamsburg",40.70719,-73.95228,"Private room",100,20,1,"2014-06-10",0.02,6,214
"822",811450,"private townhouse guest suite",4267089,"Jo","Brooklyn","Bedford-Stuyvesant",40.68194,-73.92757,"Private room",79,4,1,"2015-01-02",0.02,1,359
"834",820801,"sunny 2bd  2 balconies",25632,"LeeAnn","Brooklyn","Greenpoint",40.72103,-73.94798,"Entire home/apt",300,30,1,"2014-09-12",0.02,1,0
"895",867749,"sunny 2 bedroom in prospect heights + terrace",745186,"Chiara","Brooklyn","Crown Heights",40.67813,-73.96355,"Entire home/apt",200,30,1,"2015-07-19",0.02,1,283
"980",1000788,"modern lux 1 br near 2 3 4 5 trains",4797532,"Priscilla","Brooklyn","Crown Heights",40.67319,-73.95987,"Entire home/apt",120,28,1,"2015-10-29",0.02,2,280
"1047",1115381,"private room & balcony in new york",6121678,"Kamala","Brooklyn","Park Slope",40.67771,-73.98152,"Private room",85,2,1,"2015-09-12",0.02,1,0
"1053",1123934,"sunny 1br apt in n. williasmburg",6164428,"Bjarke And Holly","Brooklyn","Williamsburg",40.72065,-73.959,"Entire home/apt",130,14,1,"2015-01-09",0.02,1,296
"1056",1126944,"private home  with  parking in brooklyn",128663,"Tina","Brooklyn","Kensington",40.64024,-73.96976,"Entire home/apt",300,5,1,"2015-01-01",0.02,1,15
"1108",1229484,"sunny and cozy bedroom in brooklyn ! ",6706914,"Leanne","Brooklyn","Crown Heights",40.67322,-73.95847,"Private room",38,5,1,"2015-08-01",0.02,2,0
"1135",1277955,"gorgeous windsor terrace home",836911,"Cathy","Brooklyn","Windsor Terrace",40.65641,-73.97937,"Entire home/apt",150,1,1,"2014-05-17",0.02,3,129
"1144",1294721,"skylight apartment williamsburg",306825,"Jesse","Brooklyn","Williamsburg",40.7132,-73.96798,"Entire home/apt",190,4,1,"2014-09-22",0.02,1,0
"1185",1351427,"charming new 3br house+bkyard brkln",6414252,"Arza","Brooklyn","Kensington",40.64734,-73.97334,"Entire home/apt",262,30,1,"2015-04-03",0.02,1,16
"1245",1466688,"bright apartment in williamsburg",7856381,"Jp","Brooklyn","Williamsburg",40.70901,-73.95291,"Entire home/apt",120,2,1,"2015-05-17",0.02,1,0
"1299",1589248,"hip apartment in williamsburg",8255208,"Kate","Brooklyn","Williamsburg",40.70951,-73.96262,"Entire home/apt",140,1,1,"2015-07-16",0.02,1,0
"1321",1646910,"bright  cheerful brooklyn apartment",2899693,"Kali","Brooklyn","Williamsburg",40.70773,-73.94144,"Entire home/apt",115,20,1,"2014-08-10",0.02,1,0
"1322",1650470,"spacious room in bushwick l & jmz  ! ",8753908,"Rebecca","Brooklyn","Bushwick",40.70045,-73.93832,"Private room",65,5,1,"2015-06-01",0.02,1,169
"1468",1922448,"sunny bedroom in williamsburg",8740210,"Angelica","Brooklyn","Williamsburg",40.71278,-73.94035,"Private room",75,3,1,"2015-11-13",0.02,1,0
"1473",1929041,"best price - williamsburg 1 room",9265204,"Gianni","Brooklyn","Williamsburg",40.70576,-73.94827,"Private room",100,1,1,"2015-09-06",0.02,2,44
"1493",1956346,"the heart of cool williamsburg nyc",5278115,"Marc","Brooklyn","Williamsburg",40.71746,-73.9607,"Entire home/apt",200,1,1,"2015-01-02",0.02,1,320
"1570",2081408,"cozy sun drenched crown heights apt",318435,"Rose","Brooklyn","Crown Heights",40.66646,-73.93605,"Entire home/apt",105,5,1,"2015-01-08",0.02,1,0
"1629",2155345,"bushwick bungalow",10995590,"Cat","Brooklyn","Bushwick",40.70014,-73.92705,"Entire home/apt",150,1,1,"2015-10-14",0.02,1,0
"1668",2254541,"private bedroom in williamsburg ! ",6060700,"Kevin","Brooklyn","Williamsburg",40.71801,-73.95869,"Private room",85,14,1,"2014-08-20",0.02,1,0
"1717",2365645,"quiet apartment in williamsburg  bk",7881738,"Michele","Brooklyn","Williamsburg",40.711,-73.95403,"Entire home/apt",99,1,1,"2016-01-12",0.02,1,0
"1732",2412916,"elegant brooklyn comfort  one bedroom",4183222,"James","Brooklyn","Carroll Gardens",40.68008,-73.99392,"Entire home/apt",180,2,1,"2014-06-10",0.02,1,0
"1756",2460303,"charming brooklyn brownstone",12579916,"Andrea","Brooklyn","Park Slope",40.68091,-73.9766,"Entire home/apt",100,2,1,"2014-06-09",0.02,1,0
"1780",2519255,"beautiful brooklyn room",808206,"Brenna","Brooklyn","Bushwick",40.70365,-73.92711,"Private room",50,1,1,"2014-04-11",0.02,1,0
"1788",2526152,"sunny  child friendly loft.",11825464,"SirRoan","Brooklyn","Crown Heights",40.67901,-73.96237,"Private room",105,1,1,"2014-05-02",0.02,1,0
"1793",2560559,"sunny private room near prospect pk",2766490,"Daisy","Brooklyn","Crown Heights",40.68027,-73.96379,"Private room",50,7,1,"2016-01-03",0.02,1,0
"1807",2592640,"great room with awesome amenities ! ",13272957,"Johnny","Brooklyn","Bedford-Stuyvesant",40.69135,-73.94694,"Private room",30,1,1,"2014-03-28",0.02,1,0
"1845",2685701,"spectacular williamsburg 2 br loft",1602568,"Thomas","Brooklyn","Williamsburg",40.70934,-73.9627,"Entire home/apt",330,10,1,"2014-08-07",0.02,1,0
"1882",2788298,"fort greene perfect location",14262697,"Eric","Brooklyn","Fort Greene",40.69056,-73.98038,"Entire home/apt",150,3,1,"2015-05-19",0.02,1,0
"1976",3041280,"crown heights duplex apt.",4401973,"Juan Felipe","Brooklyn","Prospect-Lefferts Gardens",40.6602,-73.95043,"Private room",95,1,1,"2015-06-30",0.02,1,0
"2018",3157330,"clean  casual 2bd apt in bed-stuy ! ",9105586,"Marc","Brooklyn","Bedford-Stuyvesant",40.68898,-73.9412,"Entire home/apt",75,1,1,"2015-02-12",0.02,1,0
"2047",3209866,"cozy 1br - fort greene  brooklyn",16258619,"Folake","Brooklyn","Fort Greene",40.69802,-73.97614,"Private room",120,3,1,"2014-09-17",0.02,1,365
"2123",3354367,"beautiful brooklyn heights share",8882019,"Katherine","Brooklyn","Brooklyn Heights",40.69846,-73.99312,"Private room",110,2,1,"2015-10-01",0.02,1,189
"2154",3411912,"charming apt  perfect for couples ! ",2574806,"Liz","Brooklyn","Bushwick",40.69349,-73.92211,"Entire home/apt",170,2,1,"2015-12-09",0.02,1,0
"2163",3432660,"neat  classy  and simple.",17299359,"Lionel","Brooklyn","Bedford-Stuyvesant",40.68571,-73.95792,"Entire home/apt",175,3,1,"2014-10-24",0.02,2,365
"2211",3544858,"private room in greenpoint  bk",7879349,"Abby","Brooklyn","Greenpoint",40.72472,-73.94135,"Private room",60,1,1,"2014-08-18",0.02,1,0
"2235",3593821,"bedroom in williamsburg  with  terrace",18105672,"Eric","Brooklyn","Williamsburg",40.71659,-73.9458,"Private room",90,30,1,"2015-07-26",0.02,1,0
"2316",3720404,"sunny south williamsburg apartment",1363910,"Emily","Brooklyn","Williamsburg",40.70914,-73.95236,"Entire home/apt",160,3,1,"2014-09-01",0.02,1,0
"2320",3731209,"quaint  quiet 1bd",19067223,"Mohini","Brooklyn","Williamsburg",40.71795,-73.95804,"Private room",55,1,1,"2015-06-17",0.02,1,0
"2322",3731965,"williamsburg brooklyn quiet abode",7598755,"Elliot","Brooklyn","Williamsburg",40.71985,-73.94422,"Entire home/apt",120,2,1,"2016-03-13",0.02,1,0
"2355",3797183,"room in spacious boerum hill duplex",2538522,"Emma","Brooklyn","Boerum Hill",40.68558,-73.9815,"Private room",110,3,1,"2014-08-19",0.02,1,0
"2360",3800549,"williamsburg studio",810266,"Jonathan","Brooklyn","Williamsburg",40.71694,-73.96017,"Entire home/apt",125,21,1,"2015-04-30",0.02,1,0
"2389",3841033,"bright  clean studio by subway",9708374,"Anaïs","Brooklyn","Bay Ridge",40.63592,-74.02704,"Entire home/apt",119,1,1,"2016-01-09",0.02,1,0
"2398",3858105,"light and airy top floor apartment",5174082,"Rebecca","Brooklyn","Columbia St",40.68404,-74.004,"Entire home/apt",75,8,1,"2014-08-25",0.02,1,0
"2413",3895289,"unique room in historic greenpoint",20156576,"Glenn","Brooklyn","Greenpoint",40.72829,-73.95354,"Private room",50,7,1,"2014-08-28",0.02,1,0
"2442",3944499,"cozy bedroom in crown heights brooklyn",6771709,"Lauren","Brooklyn","Crown Heights",40.67081,-73.95761,"Private room",96,3,1,"2014-09-18",0.02,1,0
"2472",4017226,"comfortable room in brooklyn",20830484,"Lorcán","Brooklyn","Gowanus",40.68163,-73.98088,"Private room",60,1,1,"2014-09-21",0.02,1,0
"2473",4020957,"sunny room in bedstuy",12876904,"Marla","Brooklyn","Bedford-Stuyvesant",40.67918,-73.95318,"Private room",125,2,1,"2015-06-05",0.02,1,0
"2479",4039020,"huge  private bath  steps frm train",430188,"Pam","Brooklyn","Williamsburg",40.70588,-73.95422,"Private room",140,5,1,"2014-09-14",0.02,6,185
"2494",4055732,"stay in clinton hill sprout house ! ",12368114,"Rachelle","Brooklyn","Clinton Hill",40.68454,-73.96382,"Private room",40,1,1,"2015-06-07",0.02,1,0
