"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"12281",21540035,"cozy quiet clean 1br apt in hudson heights  nyc ! ",110553561,"Mitchell","Manhattan","Washington Heights",40.85561,-73.93306,"Entire home/apt",99,2,12,"2019-06-21",0.61,1,0
"12462",21786780,"artful loft ★ nyc ★ chelsea",8905097,"★The Local Apple★","Manhattan","Chelsea",40.74245,-73.99348,"Entire home/apt",750,12,1,"2019-05-21",0.61,1,332
"12486",21813491,"east village � pied � terre � nyc",155014420,"Tim And Reuben","Manhattan","East Village",40.72256,-73.97925,"Entire home/apt",184,30,11,"2018-06-28",0.61,1,313
"12696",22010459,"calm  cozy 2 bedroom apartment",41940272,"Nicole","Manhattan","Harlem",40.82252,-73.94597,"Entire home/apt",73,4,11,"2019-04-22",0.61,3,6
"15289",27389647,"master bed bath near lincoln center in high-rise",119531605,"Nicole","Manhattan","Upper West Side",40.7737,-73.99027,"Private room",99,1,7,"2018-08-31",0.61,1,0
"15713",28340606,"large room with private bathroom !  best nyc rooftop",696141,"Michael Dan","Manhattan","Financial District",40.706,-74.0077,"Private room",115,4,6,"2019-04-20",0.61,1,0
"16598",30059328,"two blocks from washington square park !  ! ",41194120,"Melissa","Manhattan","Greenwich Village",40.72978,-73.99982,"Entire home/apt",275,1,4,"2019-05-26",0.61,1,0
"16796",30267337,"stunning  modern apartment in greenwich village",196705969,"Adam & Kath","Manhattan","Greenwich Village",40.72866,-74.0013,"Entire home/apt",258,2,4,"2019-05-28",0.61,1,10
"16851",30325586,"nice and artsy apartment in east village",26671786,"Sherry","Manhattan","East Village",40.7233,-73.97882,"Private room",79,1,4,"2019-05-27",0.61,1,0
"17083",30444675,"lovely apartment in upper west",209943977,"Carolina","Manhattan","Upper West Side",40.80155,-73.96498,"Entire home/apt",120,2,4,"2019-05-16",0.61,1,0
"17151",30527466,"cozy quiet studio right off time square",181974787,"Helen","Manhattan","Hell's Kitchen",40.76411,-73.99019,"Entire home/apt",189,1,4,"2019-07-07",0.61,1,74
"17262",30716192,"nyuw05-1: cozy room  park  columbia university.",39890192,"Laura","Manhattan","Upper West Side",40.80003,-73.96123,"Private room",70,14,2,"2019-05-17",0.61,12,146
"17269",30723941,"cute 1 br on gramercy (min 30 days)",178224519,"Lisa","Manhattan","Kips Bay",40.74056,-73.9791,"Entire home/apt",150,30,1,"2019-05-21",0.61,8,332
"17346",30812751,"double double room � empire city new york",224414117,"Gabriel","Manhattan","Hell's Kitchen",40.75467,-73.99657,"Private room",199,1,4,"2019-01-20",0.61,30,363
"17459",30950513,"5 star manhattan luxury st. regis hotel king suite",26556695,"Alyssa","Manhattan","Midtown",40.76042,-73.97504,"Entire home/apt",1075,1,4,"2019-02-18",0.61,6,365
"18508",32692224,"affordable  simple  bright  furnished nyc studio ! ",1623509,"Ngozi","Manhattan","Harlem",40.81891,-73.93786,"Entire home/apt",73,7,1,"2019-05-21",0.61,1,43
"18872",33342049,"hell's kitchen cuteness !  ! ",27624437,"Peggy","Manhattan","Hell's Kitchen",40.76581,-73.98745,"Entire home/apt",208,10,1,"2019-05-21",0.61,1,170
"19540",34203531,"☆ times square- home away from home",444275,"Sara And Ronald","Manhattan","Hell's Kitchen",40.76521,-73.98986,"Entire home/apt",180,3,1,"2019-05-21",0.61,1,17
"20185",34867034,"“epic” the highest apartment in new york",184506477,"Ieong","Manhattan","Chelsea",40.74743,-73.99136,"Entire home/apt",440,2,1,"2019-05-21",0.61,1,2
"43",19169,"entire 2 bedroom - large & sunny",73128,"JoLynn","Manhattan","Lower East Side",40.71851,-73.98892,"Entire home/apt",285,5,70,"2019-06-30",0.62,1,328
"405",329385,"hosting your cozy   eclectic milieu for nyc visit",312288,"Paula","Manhattan","Inwood",40.86658,-73.92558,"Private room",87,7,46,"2019-05-25",0.62,2,310
"559",525523,"comfortable private room in upper manhattan 2br",2582890,"Kim","Manhattan","East Harlem",40.80762,-73.94017,"Private room",50,2,16,"2018-07-04",0.62,1,60
"588",552141,"historic sundrenched apt of the lower east side",2712998,"Greg","Manhattan","Lower East Side",40.71788,-73.98975,"Entire home/apt",300,1,45,"2019-06-08",0.62,1,111
"646",635114,"nyc - heart of greenwich village",3158530,"Peter","Manhattan","Greenwich Village",40.72812,-74.00191,"Entire home/apt",225,4,51,"2019-05-02",0.62,1,172
"1055",1087215,"stunning designer loft in the heart of chelsea",1841580,"George","Manhattan","Chelsea",40.74877,-73.9994,"Entire home/apt",300,5,44,"2019-07-03",0.62,1,87
