"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"162",98330,"lovely apartment in the heart of ny",31374,"Shon","Manhattan","Kips Bay",40.73877,-73.97707,"Entire home/apt",125,4,1,"2012-01-03",0.01,3,181
"280",231414,"turquoise: one-bedroom apt. in soho",1184442,"Roberto","Manhattan","SoHo",40.72599,-74.00168,"Private room",270,5,1,"2013-07-09",0.01,1,210
"355",281521,"amazing west village 2br",70614,"Vimal","Manhattan","West Village",40.73879,-74.00425,"Entire home/apt",200,27,1,"2012-10-02",0.01,1,0
"361",285442,"huge room with private balcony",1475866,"Jesper","Manhattan","East Village",40.73119,-73.98819,"Private room",300,6,1,"2013-05-06",0.01,1,0
"544",505231,"enjoy a 1 bedroom to share  nyc",2490915,"Catherine","Manhattan","Upper East Side",40.77799,-73.95223,"Private room",80,1,1,"2012-06-22",0.01,1,0
"594",563496,"studio apartment greenwich village",2770985,"Aaron","Manhattan","Greenwich Village",40.73481,-73.99845,"Entire home/apt",145,5,1,"2012-09-05",0.01,1,0
"651",640589,"sweet super bowl accomodations",3198479,"Gina","Manhattan","West Village",40.73727,-74.00213,"Entire home/apt",700,5,1,"2012-09-18",0.01,1,365
"672",652691,"columbus circle~100% furnished w.58",1475015,"Mike","Manhattan","Upper West Side",40.76934,-73.98464,"Entire home/apt",95,30,1,"2012-11-01",0.01,52,365
"774",755684,"cozy soho studio loft apt bleecker",3977494,"Sandra","Manhattan","Greenwich Village",40.72714,-73.99581,"Entire home/apt",187,14,1,"2013-01-04",0.01,1,0
"800",785166,"comfy cool convenient downtown manhattan",2840710,"Mark","Manhattan","Lower East Side",40.71818,-73.98206,"Entire home/apt",220,25,1,"2013-10-17",0.01,1,350
"835",808476,"great space   private room",3775799,"Wendee","Manhattan","Harlem",40.83378,-73.94966,"Private room",85,1,1,"2013-11-01",0.01,1,365
"887",842494,"charming studio near central park ! ",148545,"Lisa","Manhattan","Upper West Side",40.77886,-73.98444,"Entire home/apt",150,7,1,"2013-11-09",0.01,1,0
"989",981410,"sunny studio in the west village",5374768,"Maria","Manhattan","West Village",40.73331,-74.00471,"Entire home/apt",170,4,1,"2013-04-09",0.01,1,273
"1262",1480002,"huge rm in 1500sq ft loft  with lots",7919277,"Daren","Manhattan","Lower East Side",40.71862,-73.99154,"Private room",125,1,1,"2013-09-16",0.01,1,364
"1471",1908767,"large bedroom in the east village",9888877,"Jessica","Manhattan","East Village",40.72745,-73.98344,"Private room",119,3,1,"2013-12-15",0.01,1,0
"1526",1979506,"cozy duplex on the upper east side ! ",10071119,"Nora","Manhattan","Upper East Side",40.76838,-73.95481,"Private room",100,1,1,"2014-01-02",0.01,1,0
"1534",1987949,"3 bedroom apt. in washington height",10252755,"Lauren","Manhattan","Washington Heights",40.84082,-73.93896,"Entire home/apt",145,3,1,"2014-01-02",0.01,1,0
"1595",2060275,"noha living",10545845,"Evan","Manhattan","East Harlem",40.80797,-73.93686,"Private room",179,1,1,"2013-12-14",0.01,1,0
"1612",2081850,"huge  gorgeous apt in harlem  nyc",1657228,"Aktina","Manhattan","Harlem",40.81286,-73.94385,"Entire home/apt",150,14,1,"2014-01-13",0.01,1,35
"171",112304,"cozy private room in west harlem ! ",573316,"Kelli","Manhattan","Harlem",40.8054,-73.95189,"Private room",90,1,1,"2016-01-02",0.02,1,0
"238",187986,"comfort at crossroads of downtown",904833,"Daniel","Manhattan","Chelsea",40.73862,-73.99758,"Entire home/apt",250,1,2,"2015-08-28",0.02,1,0
"241",189181,"room in chic modern high line luxury- new ! ",912541,"David","Manhattan","Chelsea",40.74695,-74.00454,"Private room",255,4,1,"2014-04-20",0.02,1,365
"349",274743,"charming furnished studio-loft",1436404,"Catherine","Manhattan","Upper East Side",40.77368,-73.95198,"Entire home/apt",110,15,1,"2014-08-31",0.02,1,275
"400",327521,"lovely studio in east village  ny",82896,"Esther","Manhattan","East Village",40.725,-73.98851,"Entire home/apt",150,5,1,"2015-11-16",0.02,1,0
"487",447766,"great 1 br apt in kips bay  ny",1109143,"Mark","Manhattan","Kips Bay",40.73903,-73.97975,"Private room",100,1,1,"2014-08-21",0.02,1,6
"548",510454,"gramercy pk area  w rooftop gdn ! ",2515124,"Jacqueline","Manhattan","Kips Bay",40.73951,-73.98146,"Entire home/apt",145,3,2,"2016-06-23",0.02,1,0
"648",637716,"nolita  home sweet home in nyc",3181665,"Cortney","Manhattan","Nolita",40.72095,-73.99401,"Entire home/apt",160,4,2,"2013-04-03",0.02,1,0
"691",668400,"1br in nice 2br apt lovely area",3383354,"Martina","Manhattan","Inwood",40.86186,-73.92701,"Private room",50,7,1,"2015-07-16",0.02,1,0
"732",722451,"nyc spacious 3b  new  river view",3730928,"Dustin","Manhattan","Harlem",40.82398,-73.954,"Entire home/apt",350,1,1,"2015-10-05",0.02,1,0
"784",770514,"studio in flatiron  nyc  !  ! ",4064804,"Niki","Manhattan","Flatiron District",40.73997,-73.98789,"Entire home/apt",195,1,1,"2014-09-22",0.02,1,0
"792",778495,"family friendly room & bathroom on central park w",1114587,"Keenan & Emily","Manhattan","Upper West Side",40.79767,-73.96114,"Private room",120,3,2,"2018-08-03",0.02,3,0
"931",887355,"2 bedrooms 5-star building midtown",4705358,"D","Manhattan","Murray Hill",40.74791,-73.97334,"Entire home/apt",500,5,1,"2015-03-25",0.02,1,281
