"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1853",17261922,"townhouse apt. close to city. 3 bedrooms & 2 bath",116365995,"Dan","Queens","Woodside",40.74705,-73.90792,"Entire home/apt",275,4,31,"2019-07-04",1.21,2,283
"3711",28307159,"queens palace",129038733,"George & Kevin","Queens","Ditmars Steinway",40.77658,-73.90344,"Entire home/apt",100,3,12,"2018-12-30",1.21,1,0
"862",8684074,"the tranquility room-large & light",45601111,"Dlb","Queens","Laurelton",40.67168,-73.74744,"Private room",42,2,54,"2018-05-27",1.22,5,189
"1320",13433027,"holistic health stay new york",69632344,"Sister Shai","Queens","South Ozone Park",40.67866,-73.8068,"Entire home/apt",100,5,44,"2019-05-19",1.22,1,350
"1532",14817571,"private room in astoria for a month ! ",90043913,"Yudum","Queens","Astoria",40.77013,-73.92092,"Private room",60,2,2,"2019-06-10",1.22,2,34
"2245",19859179,"cozy  quite  private  near lga",39134890,"Di","Queens","Elmhurst",40.74083,-73.88523,"Private room",39,3,25,"2018-07-17",1.22,1,0
"2518",21230280,"(c) room for 2 - sharing bath",110965771,"Wilson","Queens","Flushing",40.77241,-73.82388,"Private room",45,2,24,"2019-04-28",1.22,7,57
"4740",33237562,"luda and david nest to share.",234588422,"Luda","Queens","Sunnyside",40.74512,-73.91758,"Entire home/apt",75,6,3,"2019-06-23",1.22,1,43
"4849",33741107,"fresh",216274333,"Victoria","Queens","Fresh Meadows",40.72894,-73.78003,"Private room",80,1,2,"2019-05-25",1.22,1,0
"5028",34401906,"new york modern apartment",34075689,"Zhen Zhen","Queens","Maspeth",40.72167,-73.90095,"Entire home/apt",145,7,2,"2019-05-29",1.22,3,38
"1066",10741931,"comfort home",55532612,"Chantelle","Queens","Arverne",40.5903,-73.79247,"Entire home/apt",200,1,15,"2019-06-23",1.23,1,354
"1292",13222669,"charming garden studio in sunnyside  ny",5955262,"Leticia","Queens","Long Island City",40.73487,-73.92145,"Entire home/apt",95,5,46,"2019-06-24",1.23,1,244
"1516",14694588,"spacious studio room in flushing  queens",91381742,"Pearl","Queens","Flushing",40.75577,-73.83263,"Private room",60,2,42,"2019-05-19",1.23,1,355
"1877",17432700,"safe and convinient rooms close to nyc.",117930151,"Feather Factory Hotel","Queens","Long Island City",40.74454,-73.94016,"Private room",109,1,35,"2019-05-27",1.23,2,364
"2017",18507990,"cozy one bedroom in a private house.safe & quite.",38604449,"Pasang","Queens","Woodside",40.75558,-73.90534,"Private room",45,2,30,"2019-01-01",1.23,2,242
"2100",19122672,"very close manhattan ( s )",47015275,"Kathy","Queens","Elmhurst",40.74546,-73.88898,"Private room",70,1,31,"2019-06-01",1.23,2,89
"2235",19812097,"two b rm (2-3 guests) near beach  a air train  jfk",139957134,"Trudy","Queens","Arverne",40.5991,-73.79944,"Private room",50,1,28,"2019-06-22",1.23,3,251
"2408",20785435,"rest assured private room ensuite bath nearjfk",94713722,"Joy","Queens","St. Albans",40.68998,-73.75477,"Private room",60,2,23,"2018-11-11",1.23,4,0
"2537",21289640,"cozy nook(double room shared bath)",154037433,"Roland","Queens","Jamaica",40.66934,-73.77269,"Private room",68,1,14,"2019-04-26",1.23,3,13
"2748",22177219,"private big room with great access !  !  ! ",162005440,"Alba","Queens","East Elmhurst",40.76311,-73.89098,"Private room",100,2,23,"2019-06-08",1.23,1,95
"4823",33613727,"cozy and comfortable studio apartment",253304582,"Iris","Queens","Corona",40.73747,-73.86404,"Entire home/apt",110,7,3,"2019-06-27",1.23,2,54
"4865",33780216,"m&c garden  located in the heart of astoria ny",60754157,"Mark & Christopher","Queens","Astoria",40.76649,-73.92356,"Entire home/apt",225,2,3,"2019-07-07",1.23,1,23
"1157",12145875,"private  cozy room  20 min to manhattan",22117154,"Dorota","Queens","Ridgewood",40.70009,-73.90505,"Private room",40,1,48,"2019-07-07",1.24,1,1
"2134",19273509,"astoria home 2 living rooms  1 bedroom 1 bath",4969033,"Bella","Queens","Astoria",40.76634,-73.90872,"Entire home/apt",90,3,30,"2018-08-29",1.24,1,0
"3316",26076877,"confortable big bed on ny close to jfk and lga",173290675,"Charlie","Queens","Woodhaven",40.69791,-73.85158,"Private room",40,2,16,"2019-06-16",1.24,3,330
"3910",29253322,"female only  private room 3 min walking to metro j",219930693,"Viktoriia","Queens","Woodhaven",40.69102,-73.86089,"Private room",90,2,11,"2019-05-27",1.24,2,89
"64",543792,"studio apartment bushwick ridgewood",865264,"Sharon And Tom","Queens","Ridgewood",40.70878,-73.91727,"Entire home/apt",110,5,107,"2019-06-21",1.25,1,276
"291",2870603,"one bedroom apartment",14204809,"Alwin","Queens","Jackson Heights",40.75625,-73.87542,"Entire home/apt",69,6,78,"2019-06-22",1.25,1,30
"2814",22419930,"private 1 bedroom 10 mins away to manhattan nyc",162745077,"Dorothy","Queens","Long Island City",40.75469,-73.92822,"Private room",99,1,23,"2019-07-01",1.25,2,93
"3819",28775714,"cute apartment in long island city",9599815,"Patricia Rose","Queens","Long Island City",40.74511,-73.95293,"Entire home/apt",80,4,11,"2019-06-03",1.25,1,24
"4550",32292954,"split level front walk-in apartment",219333557,"Rafael","Queens","East Elmhurst",40.76276,-73.86889,"Private room",49,1,6,"2019-06-03",1.25,7,55
"5060",34509302,"perfect room for road warrior 20mins to manhattan",7832790,"Michael","Queens","Astoria",40.76269,-73.91232,"Private room",90,1,2,"2019-06-03",1.25,2,90
"851",8623370,"private luxury apartment",45359132,"Patricia","Queens","Queens Village",40.72001,-73.75402,"Entire home/apt",85,2,57,"2019-07-01",1.26,1,317
"949",9597325,"perfect studio in brooklyn queens",2736439,"Cindy & Jeremy","Queens","Maspeth",40.71382,-73.91282,"Entire home/apt",89,3,54,"2019-06-19",1.26,1,331
"974",9759592,"5 minutes to jfk airport bed bath -room a",50331556,"Marilee & Gene","Queens","Rosedale",40.67836,-73.729,"Private room",90,1,54,"2019-05-19",1.26,1,180
"1600",15338155,"beautiful bedroom in cozy apartment",22534244,"Jose","Queens","Woodside",40.74845,-73.89665,"Private room",85,1,42,"2019-06-28",1.26,1,364
"3885",29102760,"split level walk-in masterbedroom",219333557,"Rafael","Queens","East Elmhurst",40.76274,-73.86866,"Private room",79,1,8,"2019-06-02",1.26,7,96
"4515",32088018,"beautiful single bedroom 30 min to manhattan.",3158364,"Devika","Queens","Sunnyside",40.73641,-73.92415,"Private room",40,5,5,"2019-06-30",1.26,4,297
"357",3812554,"master bedrm  steam shr jacuzzi  fh",19597910,"Ruth","Queens","Forest Hills",40.727,-73.83924,"Private room",145,2,75,"2019-05-19",1.27,3,358
"1062",10658613,"nyc designer loft amazing city view",2645592,"De & Claudia","Queens","Astoria",40.75666,-73.91449,"Entire home/apt",130,3,50,"2019-07-01",1.27,2,352
"1090",11186765,"lovely room with private bathroom  near manhattan",58234433,"Martin","Queens","Sunnyside",40.7359,-73.91912,"Private room",129,1,52,"2019-06-16",1.27,8,250
"1128",11714752,"safe+artsy+clean haven near manhattan lga ! ",17156658,"Native","Queens","Astoria",40.76207,-73.90852,"Private room",45,5,50,"2019-06-28",1.27,1,145
"1262",13082957,"comfy & secure near airport  shopping malls & park",5261297,"Jackie","Queens","Corona",40.74332,-73.85469,"Private room",52,1,45,"2018-08-07",1.27,1,57
"1308",13375898,"perfect location  15 minutes to manhattan",75981937,"Cem","Queens","Astoria",40.76002,-73.92252,"Private room",48,1,47,"2019-06-22",1.27,2,71
"2909",23072371,"large bed room share bathroom",65171233,"Cha","Queens","Elmhurst",40.74252,-73.8899,"Private room",31,3,21,"2019-07-01",1.27,2,111
"3179",24889922,"glendale apartment",177560095,"Michelle","Queens","Glendale",40.69991,-73.88952,"Private room",50,7,17,"2019-04-10",1.27,1,66
"4017",29828654,"luxury high ceiling penthouse apartment",62014501,"Guangnan","Queens","Long Island City",40.74781,-73.93891,"Entire home/apt",133,20,9,"2018-12-16",1.27,1,21
"4323",31065551,"room 25 min away from manhattan 7train busq67",31044879,"Ara","Queens","Sunnyside",40.73718,-73.9209,"Private room",60,3,8,"2019-07-01",1.27,2,0
"699",7089310,"one of a kind big home in queens",37157641,"Madi","Queens","Jamaica Estates",40.72223,-73.78565,"Entire home/apt",398,4,55,"2019-06-30",1.28,1,82
"1001",9996946,"private rm&bthrm - 10 min manhattan",19109608,"Elle","Queens","Astoria",40.76273,-73.91642,"Private room",95,2,55,"2019-06-22",1.28,3,244
"1061",10634636,"cozy room 15mins manhattan & 10 lga",697477,"Kesang","Queens","Woodside",40.75427,-73.90646,"Private room",55,1,54,"2019-06-21",1.28,1,297
"1579",15126686,"guest bedroom off of 30th ave",95886123,"Melissa","Queens","Astoria",40.7656,-73.92293,"Private room",90,1,43,"2019-05-26",1.28,2,331
"2286",20092176,"large suite with private bathroom (15 min to city)",85330,"Jean","Queens","Forest Hills",40.7118,-73.85285,"Private room",50,3,30,"2019-07-01",1.28,3,220
"2528",21266533,"large studio 7 guests",8857758,"Cleonides","Queens","Maspeth",40.73007,-73.89766,"Entire home/apt",89,3,27,"2019-06-29",1.28,2,143
"2859",22734514,"clean room with balcony available.",167818421,"Marie Louise","Queens","Astoria",40.76645,-73.91486,"Private room",80,3,22,"2018-10-25",1.28,1,188
"3262",25476912,"3rd floor: charming 2 br guest suite with balcony",38675275,"Margaret","Queens","Belle Harbor",40.57592,-73.84823,"Private room",200,2,4,"2019-06-16",1.28,2,332
"3323",26119005,"alisha’s place-jfk 10 mins  walk to subway & buses",102410496,"Alisha","Queens","Richmond Hill",40.69608,-73.8286,"Entire home/apt",249,2,15,"2019-06-16",1.28,2,360
