"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"3",32363,"fully furnished basement apartment",140025,"Fredah","Queens","Flushing",40.74028,-73.83168,"Private room",140,2,1,"2011-09-19",0.01,1,1
"11",59121,"nice  clean  safe  convenient 3br",204539,"Mark","Queens","Ridgewood",40.70411,-73.89934,"Entire home/apt",140,14,1,"2012-09-17",0.01,5,365
"55",479285,"rent in beautiful sunnyside gardens for holidays",2374190,"Jazmin","Queens","Sunnyside",40.74679,-73.91853,"Private room",80,3,1,"2012-12-30",0.01,1,330
"81",679633,"cozy 1 bedroom apartment in nyc",3458785,"Glauce","Queens","Ditmars Steinway",40.77987,-73.91565,"Entire home/apt",75,3,1,"2012-09-18",0.01,1,0
"90",726692,"house 10 min from midtown manhattan",3641304,"Remo","Queens","Astoria",40.76216,-73.92542,"Entire home/apt",245,6,1,"2015-08-29",0.02,1,164
"158",1271103,"lovely spacious 1 bdrm in ridgewood",2243431,"Marcelle","Queens","Glendale",40.70518,-73.89133,"Entire home/apt",85,2,1,"2015-03-16",0.02,1,0
"264",2513351,"bright and open astoria apartment ! ",12864943,"Tegan","Queens","Astoria",40.76441,-73.92878,"Private room",70,3,1,"2015-04-06",0.02,2,0
"267",2519770,"2-3 bedroom apt in astoria nyc",12899510,"Solange","Queens","Ditmars Steinway",40.77804,-73.91623,"Entire home/apt",150,1,1,"2014-08-28",0.02,1,0
"276",2690370,"spectacular views of mid-town",480923,"Diane","Queens","Long Island City",40.74606,-73.95765,"Entire home/apt",130,30,1,"2014-08-04",0.02,1,0
"280",2739577,"current location",12082653,"Taylor","Queens","Long Island City",40.7625,-73.93919,"Entire home/apt",225,1,1,"2014-05-29",0.02,1,0
"284",2803944,"lovely private bedroom in 2br apt",3181226,"Emily","Queens","Woodside",40.74235,-73.90375,"Private room",55,1,1,"2015-09-05",0.02,1,0
"285",2804989,"sunny  colorful  1bd close to city",2918667,"Neisha","Queens","Sunnyside",40.74405,-73.91502,"Entire home/apt",100,1,1,"2014-05-27",0.02,1,0
"304",3095502,"cozy 1br apartment by subway",10930874,"Tyler","Queens","Forest Hills",40.72713,-73.84946,"Entire home/apt",100,1,1,"2014-09-04",0.02,1,0
"305",3106154,"safe  cozy  cute and cheap",2885147,"Marty","Queens","Rego Park",40.7246,-73.85744,"Entire home/apt",52,2,1,"2014-05-24",0.02,1,0
"355",3808358,"room 15. min from midtown in super safe area",19569282,"Kay","Queens","Astoria",40.76315,-73.92709,"Private room",45,14,1,"2014-08-16",0.02,1,0
"422",4375146,"beautiful & spacious apartment",22715031,"Fernando","Queens","Astoria",40.76575,-73.92092,"Private room",75,5,1,"2014-11-10",0.02,1,0
"425",4393502,"attic space - 三楼阁楼",21228368,"Jessica","Queens","Forest Hills",40.7132,-73.84901,"Private room",50,1,1,"2015-08-10",0.02,5,183
