"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"168",21260624,"new romantic separate apartment   free parking .",153180105,"Lana","Staten Island","Lighthouse Hill",40.57641,-74.12931,"Entire home/apt",115,2,29,"2019-01-03",1.41,1,71
"291",31209400,"2 bedroom apartment in staten island",141524395,"Myrka","Staten Island","Mariners Harbor",40.63531,-74.15789,"Entire home/apt",130,2,8,"2019-06-30",1.41,1,174
"3",62461,"b nyc staten alternative...",303939,"Lissette","Staten Island","Tompkinsville",40.63627,-74.08543,"Private room",37,2,147,"2019-06-10",1.44,6,0
"181",22511108,"historical home n.shore staten isl. nr free ferry.",128338539,"Reuben","Staten Island","Stapleton",40.6322,-74.07913,"Entire home/apt",95,30,25,"2018-11-14",1.47,4,178
"47",6553257,"royal oxford",34272645,"Jean","Staten Island","Tompkinsville",40.63489,-74.08592,"Entire home/apt",105,3,69,"2019-06-16",1.49,1,343
"226",26274490,"cozy stay !  ! ",197516314,"Genny","Staten Island","Port Richmond",40.63428,-74.13339,"Private room",50,1,16,"2019-06-23",1.53,3,365
"221",25770425,"new york city home away from home :)",32113962,"Ania","Staten Island","St. George",40.64497,-74.08267,"Entire home/apt",97,4,19,"2019-06-20",1.54,1,131
"183",22730139,"staten island full size living space-lower level",167595532,"Nabil","Staten Island","Arden Heights",40.56033,-74.18259,"Entire home/apt",75,1,20,"2019-01-08",1.55,1,6
"248",27707814,"great room great price",152484079,"Carmen","Staten Island","Port Richmond",40.63577,-74.13113,"Private room",46,1,17,"2018-12-15",1.55,1,0
"134",18606237,"cozy bedroom in historical home.",128338539,"Reuben","Staten Island","Stapleton",40.63167,-74.07971,"Private room",43,1,37,"2019-07-05",1.56,4,89
"275",29635732,"newly renovated spacious 2 bedroom apartment ! ",63227531,"Marwa","Staten Island","Randall Manor",40.62743,-74.12261,"Entire home/apt",140,2,12,"2019-07-05",1.57,2,340
"144",19636727,"private room for 1 with balcony !  (004)",137999892,"Simranjeet","Staten Island","Concord",40.60732,-74.08709,"Private room",40,2,36,"2019-05-09",1.6,7,286
"120",17735156,"private cozy large  comfortable bedroom.",4204783,"Kevin","Staten Island","West Brighton",40.63116,-74.12278,"Private room",49,2,45,"2019-06-09",1.62,3,276
"1",42882,"new york room with a view",185978,"Newyorkroomwithaview","Staten Island","St. George",40.64524,-74.08088,"Private room",70,2,166,"2019-06-13",1.66,1,312
"129",18191892,"huge 2br apartment. walk to beach buses",28483768,"Skender","Staten Island","Dongan Hills",40.57825,-74.08879,"Entire home/apt",95,4,45,"2019-06-19",1.66,1,134
"137",18828846,"private studio apartment  staten island  nyc",131115416,"Kat","Staten Island","Emerson Hill",40.60642,-74.11756,"Entire home/apt",49,1,43,"2019-07-01",1.67,1,64
"247",27700747,"beach-side basement media room",145245549,"Dawid","Staten Island","New Dorp Beach",40.56629,-74.10331,"Private room",36,2,18,"2019-06-07",1.67,1,178
"99",16082711,"private room perfect for students   siuh   002 ll safe area",104812805,"Amarjit S","Staten Island","Concord",40.59784,-74.08391,"Private room",34,4,51,"2018-10-27",1.69,8,316
"225",26258351,"escape nyc in the borough of parks ! ",6402171,"Taryn","Staten Island","Rossville",40.5479,-74.21017,"Entire home/apt",75,3,21,"2019-07-01",1.69,1,59
"4",62787,"c private room by the ferry",303939,"Lissette","Staten Island","Tompkinsville",40.63518,-74.08546,"Private room",37,2,177,"2019-07-02",1.71,6,320
"31",3153140,"four-bedroom victorian near ferry",13530123,"Lynn","Staten Island","St. George",40.64553,-74.08323,"Entire home/apt",195,3,105,"2019-06-14",1.73,1,204
"285",30852891,"beautiful 2 bedroom",133594005,"Carmen","Staten Island","St. George",40.64762,-74.08682,"Entire home/apt",135,3,3,"2019-06-14",1.76,1,232
"236",27083575,"happy home 2",158178970,"Raquel","Staten Island","Randall Manor",40.62972,-74.12539,"Private room",22,1,21,"2019-07-04",1.77,3,261
"53",8275676,"lovely clean&safe 2 br nyc suburban",43637999,"Martha","Staten Island","Great Kills",40.5455,-74.14829,"Private room",99,1,82,"2019-06-30",1.78,1,325
"297",31717883,"your stay in staten island will be the best",237913872,"Lilia","Staten Island","Concord",40.60228,-74.08324,"Private room",75,2,8,"2019-06-29",1.78,1,90
"89",15081440,"eco  private room for 4 best location to mahanttan",92493393,"Eddie & Lois","Staten Island","West Brighton",40.63215,-74.11403,"Private room",69,2,56,"2019-01-04",1.8,5,355
"190",23219361,"cozy studio near south beach :-)",59966705,"Arek","Staten Island","Arrochar",40.59078,-74.07504,"Entire home/apt",71,2,30,"2019-06-14",1.8,1,306
"186",22937305,"large bedroom with newly renovated bathroom",34635838,"Madeline","Staten Island","Bull's Head",40.60336,-74.17118,"Private room",39,1,29,"2019-05-20",1.81,2,0
"224",26224487,"3 bedroom 1200sq ft apt with exposed brick & deck",55978113,"Alexis","Staten Island","Stapleton",40.63701,-74.07624,"Private room",50,1,21,"2019-07-07",1.81,2,363
"280",30082958,"nyc★greatvalue★stepsfromtrain★queentempurpedicbed",73183897,"Michael","Staten Island","Dongan Hills",40.58415,-74.10503,"Entire home/apt",70,3,14,"2019-07-06",1.81,1,51
"220",25626932,"10 mins to free ferry to manhattan nyc new mall",182272609,"Denada","Staten Island","Tompkinsville",40.63369,-74.09489,"Entire home/apt",161,1,24,"2019-06-02",1.82,2,87
"92",15297194,"cozy island bedroom near ferry",96341353,"Tony & Grace","Staten Island","St. George",40.64055,-74.0784,"Private room",70,1,60,"2019-06-16",1.84,3,336
"2",62452,"a special !  !  private room in ny",303939,"Lissette","Staten Island","Tompkinsville",40.63536,-74.08537,"Private room",36,2,193,"2019-06-25",1.85,6,360
"330",34154797,"private room near staten island ferry",204823078,"Maria","Staten Island","South Beach",40.58802,-74.08855,"Private room",50,2,4,"2019-06-21",1.85,2,80
"138",18896540,"private bathroom  and kitchen area",131684478,"Mervin (Michael)","Staten Island","West Brighton",40.63452,-74.11707,"Private room",45,2,47,"2019-02-01",1.89,3,207
"64",10253159,"newly renovated house 4 bedroom. minutes from nyc",10721093,"Jonathan","Staten Island","Castleton Corners",40.61042,-74.12277,"Entire home/apt",299,3,49,"2019-06-30",1.91,1,350
"268",29380907,"cozy  private 1 bedroom basement apartment",179355129,"Gabrielle","Staten Island","Dongan Hills",40.58303,-74.09271,"Entire home/apt",85,2,12,"2019-06-24",1.91,1,229
