"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"20",738588,"wedding guests accommodations  3-7 bedrooms",1360198,"Marina","Staten Island","Arrochar",40.59193,-74.06476,"Entire home/apt",625,4,1,"2015-11-01",0.02,4,335
"24",1598033,"staten island apartment - 2nd floor",7875272,"Mary","Staten Island","Port Richmond",40.62947,-74.13378,"Entire home/apt",250,30,1,"2015-10-07",0.02,3,0
"28",2794725,"look !  attached single family",14295613,"Skylar","Staten Island","Clifton",40.62578,-74.07356,"Entire home/apt",75,1,1,"2014-04-19",0.02,1,0
"60",9045427,"sunrise condominium apartment",47198995,"Diana","Staten Island","Grymes Hill",40.61201,-74.09513,"Entire home/apt",200,1,1,"2015-11-01",0.02,1,0
"6",214917,"new clean spacious bed & breakfast",1109658,"Carmel","Staten Island","Emerson Hill",40.60742,-74.14388,"Private room",80,2,2,"2018-02-08",0.05,1,158
"97",15949915,"quiet  private  3.5 rooms  manhattan convenient",103545877,"Jon","Staten Island","Oakwood",40.56233,-74.12673,"Entire home/apt",100,2,2,"2017-01-30",0.06,1,36
"187",22977021,"spacious room4 rent near hospital in staten island",46723570,"Kartikeya","Staten Island","South Beach",40.5895,-74.09663,"Shared room",20,4,1,"2018-02-02",0.06,1,0
"192",23300336,"cozy room",173485654,"Patricia","Staten Island","Mariners Harbor",40.63179,-74.16122,"Private room",40,5,1,"2018-04-12",0.07,1,87
"210",24678015,"a place to sleep the night near nyc rumc  brooklyn",32162495,"Mostafa","Staten Island","Tompkinsville",40.63126,-74.0921,"Entire home/apt",48,3,1,"2018-07-16",0.08,3,0
"10",259946,"budget stay  near transportation",1360198,"Marina","Staten Island","Arrochar",40.59262,-74.06659,"Entire home/apt",125,2,8,"2019-05-19",0.09,4,353
"52",8253376,"large house with inground pool spa",43524236,"Miran","Staten Island","Todt Hill",40.60926,-74.10092,"Entire home/apt",429,2,4,"2015-11-06",0.09,1,0
"140",18993379,"home &garden: lots local+fast 2 manhattan brooklyn",132266502,"Sharlene","Staten Island","Westerleigh",40.61357,-74.13566,"Entire home/apt",103,3,1,"2018-07-29",0.09,1,189
"157",20148331,"big-3 bdrm house  1hr to manhattan  near beach",7927832,"Yulia","Staten Island","Bay Terrace, Staten Island",40.55182,-74.14439,"Entire home/apt",150,3,1,"2018-08-16",0.09,1,0
"255",27962805,"shared loft in charming guest suite (front right)",50756378,"Nina","Staten Island","Clifton",40.61672,-74.0855,"Shared room",75,2,1,"2018-09-04",0.1,7,37
